Standard Stats 2025-2026 Antalyaspor: Süper Lig,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21
,,,,,,,,,,,,,,,,,,,,,
Glossary,,,,,,,,,,,,,,,,,,,,,
Toggle Per90 Stats,,,,,,,,,,,,,,,,,,,,,
,,,,,Playing Time,,,Performance,,,,,,,,Per 90 Minutes,,,,,
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Bachir Gueye,sn SEN,FW,22-246,2,1,90,1.0,2,0,2,2,0,0,1,0,2.00,0.00,2.00,2.00,2.00,Matches
Bahadır Öztürk,tr TUR,DF,30-039,1,1,37,0.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Engin Yıldırım,tr TUR,FW,20-298,6,0,86,1.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Hüseyin Türkmen,tr TUR,DF,27-312,4,0,81,0.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Mert Yilmaz,tr TUR,"DF,MF",26-246,3,0,21,0.2,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Kerem Kayaarası,tr TUR,FW,19-236,1,0,2,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Ali Demirbilek,,FW,16-308,1,0,1,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Alp Abay,,,19-182,0,0,,,,,,,,,,,,,,,,Matches
Kagan Arican,tr TUR,GK,19-244,0,0,,,,,,,,,,,,,,,,Matches
Mehmet Dadakdeniz,tr TUR,GK,26-096,0,0,,,,,,,,,,,,,,,,Matches
Ege Izmirli,tr TUR,DF,17-290,0,0,,,,,,,,,,,,,,,,Matches
Berkay Topdemir,,FW,18-312,0,0,,,,,,,,,,,,,,,,Matches
Squad Total,,,29.0,12,132,1.08,12.0,13,10,23,13,0,0,34,2,2025-08-01 00:00:00,0.83,1992-01-01 00:00:00,2025-08-01 00:00:00,1992-01-01 00:00:00,
Opponent Total,,,2025-02-28 00:00:00,12,132,1.08,12.0,23,18,41,22,1,1,31,0,1992-01-01 00:00:00,1950-01-01 00:00:00,1942-03-01 00:00:00,1983-01-01 00:00:00,1933-03-01 00:00:00,
