Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Playing Time,Unnamed: 6,Unnamed: 7,Performance,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Per 90 Minutes,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Gökhan Sazdağı,tr TUR,DF,31-050,7,7,630,7.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
David Jurásek,cz CZE,DF,25-094,8,6,533,2025-09-05 00:00:00,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Ohis Felix Uduokhai,de GER,DF,28-061,6,5,475,2025-03-05 00:00:00,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
Rıdvan Yılmaz,tr TUR,DF,24-172,6,5,458,2025-01-05 00:00:00,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Gabriel Paulista,br BRA,DF,34-348,5,5,450,5.0,0,1,1,0,0,0,0,0,0.00,0.20,0.20,0.00,0.20,Matches
Ersin Destanoğlu,tr TUR,GK,24-312,4,4,360,4.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Cengiz Ünder,tr TUR,MF,28-118,8,4,345,2025-08-03 00:00:00,3,1,4,3,0,0,1,0,0.78,0.26,2025-04-01 00:00:00,0.78,2025-04-01 00:00:00,Matches
Jonas Svensson,no NOR,DF,32-248,5,4,344,2025-08-03 00:00:00,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Milot Rashica,xk KVX,MF,29-134,9,3,365,2025-01-04 00:00:00,0,1,1,0,0,0,0,0,0.00,0.25,0.25,0.00,0.25,Matches
Salih Uçan,tr TUR,MF,31-307,4,2,187,2025-01-02 00:00:00,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
Devrim Şahin,,MF,18-222,2,2,115,2025-03-01 00:00:00,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
,,,,,Playing Time,,,Performance,,,,,,,,Per 90 Minutes,,,,,
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Demir Ege Tıknaz,tr TUR,MF,21-084,6,1,196,2025-02-02 00:00:00,0,1,1,0,0,0,2,0,0.00,0.46,0.46,0.00,0.46,Matches
Kartal Yılmaz,tr TUR,MF,25-005,7,1,188,2025-01-02 00:00:00,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
João Mário,pt POR,MF,32-294,2,1,106,2025-02-01 00:00:00,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Taylan Bulut,de GER,DF,19-294,2,1,96,2025-01-01 00:00:00,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Necip Uysal,tr TUR,MF,34-289,2,1,81,0.9,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Ernest Muçi,al ALB,MF,24-235,1,1,57,0.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Jota Silva,pt POR,FW,26-100,5,0,118,2025-03-01 00:00:00,1,0,1,1,0,0,1,0,0.76,0.00,0.76,0.76,0.76,Matches
Mustafa Hekimoğlu,tr TUR,FW,18-201,4,0,88,1.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Serkan Terzi,tr TUR,DF,21-308,1,0,21,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Tayyib Talha Sanuç,tr TUR,DF,25-327,1,0,1,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Keny Arroyo,ec ECU,MF,19-268,0,0,,,,,,,,,,,,,,,,Matches
Emre Bilgin,tr TUR,GK,21-256,0,0,,,,,,,,,,,,,,,,Matches
Amir Hadžiahmetović,ba BIH,MF,28-246,0,0,,,,,,,,,,,,,,,,Matches
Emrecan Uzunhan,,MF,24-256,0,0,,,,,,,,,,,,,,,,Matches
Squad Total,,,2025-02-28 00:00:00,12,132,1.08,12.0,20,14,34,19,1,2,26,2,1967-01-01 00:00:00,2017-01-01 00:00:00,1983-02-01 00:00:00,1958-01-01 00:00:00,1975-02-01 00:00:00,
Opponent Total,,,28.0,12,132,1.08,12.0,15,8,23,14,1,1,32,2,2025-01-01 00:00:00,0.67,1992-01-01 00:00:00,2017-01-01 00:00:00,1983-01-01 00:00:00,
