Standard Stats 2025-2026 Kasımpaşa: Süper Lig,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21
,,,,,,,,,,,,,,,,,,,,,
Glossary,,,,,,,,,,,,,,,,,,,,,
Toggle Per90 Stats,,,,,,,,,,,,,,,,,,,,,
,,,,,Playing Time,,,Performance,,,,,,,,Per 90 Minutes,,,,,
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Ege Albayrak,,GK,18-081,0,0,,,,,,,,,,,,,,,,Matches
Taylan Aydın,tr TUR,DF,19-272,0,0,,,,,,,,,,,,,,,,Matches
Ali Emre Yanar,,GK,27-178,0,0,,,,,,,,,,,,,,,,Matches
Yasin Eratilla,,FW,21-218,0,0,,,,,,,,,,,,,,,,Matches
Berkay Muratoğlu,tr TUR,DF,17-311,0,0,,,,,,,,,,,,,,,,Matches
Loret Sadiku,al ALB,"DF,MF",34-104,0,0,,,,,,,,,,,,,,,,Matches
Emirhan Yigit,,MF,19-193,0,0,,,,,,,,,,,,,,,,Matches
Oğuzhan Yılmaz,,MF,22-145,0,0,,,,,,,,,,,,,,,,Matches
Squad Total,,,2025-07-28 00:00:00,12,132,1.08,12.0,10,8,18,9,1,1,27,2,0.83,0.67,1950-01-01 00:00:00,0.75,1942-01-01 00:00:00,
Opponent Total,,,2025-01-28 00:00:00,12,132,1.08,12.0,17,16,33,17,0,1,27,0,1942-01-01 00:00:00,1933-01-01 00:00:00,1975-02-01 00:00:00,1942-01-01 00:00:00,1975-02-01 00:00:00,
,,,,,,,,,,,,,,,,,,,,,
"Totals may not be complete for all senior-level play, see coverage note.",,,,,,,,,,,,,,,,,,,,,
