Standard Stats 2025-2026 Rizespor: Süper Lig,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21
,,,,,,,,,,,,,,,,,,,,,
Glossary,,,,,,,,,,,,,,,,,,,,,
Toggle Per90 Stats,,,,,,,,,,,,,,,,,,,,,
,,,,,Playing Time,,,Performance,,,,,,,,Per 90 Minutes,,,,,
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Taylan Antalyalı,tr TUR,MF,30-305,7,0,95,2025-01-01 00:00:00,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Dal Varesanovic,ba BIH,MF,24-170,2,0,54,0.6,1,0,1,1,0,0,0,0,1967-01-01 00:00:00,0.00,1967-01-01 00:00:00,1967-01-01 00:00:00,1967-01-01 00:00:00,Matches
Seyfettin Anıl Yaşar,tr TUR,DF,23-131,0,0,,,,,,,,,,,,,,,,Matches
Yakup Ayan,,,17-200,0,0,,,,,,,,,,,,,,,,Matches
Bayram Çapoğlu,,MF,17-104,0,0,,,,,,,,,,,,,,,,Matches
Emir Çoban,,DF,17-192,0,0,,,,,,,,,,,,,,,,Matches
Efe Doğan,,GK,21-081,0,0,,,,,,,,,,,,,,,,Matches
Furkan Orak,,DF,24-165,0,0,,,,,,,,,,,,,,,,Matches
Osman Topçu,,GK,19-003,0,0,,,,,,,,,,,,,,,,Matches
Deniz Yaşar,,FW,19-031,0,0,,,,,,,,,,,,,,,,Matches
Squad Total,,,2025-03-27 00:00:00,12,132,1.08,12.0,13,9,22,13,0,0,34,0,2025-08-01 00:00:00,0.75,1983-01-01 00:00:00,2025-08-01 00:00:00,1983-01-01 00:00:00,
Opponent Total,,,2025-02-28 00:00:00,12,132,1.08,12.0,16,13,29,15,1,3,20,1,1933-01-01 00:00:00,2025-08-01 00:00:00,1942-02-01 00:00:00,2025-01-01 00:00:00,1933-02-01 00:00:00,
,,,,,,,,,,,,,,,,,,,,,
"Totals may not be complete for all senior-level play, see coverage note.",,,,,,,,,,,,,,,,,,,,,
