Shooting 2025-2026 Kocaelispor: Süper Lig,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21
Show,ao ANG,MF,26-248,8.0,4,0,0,13,13,0,2,8,9,,,0,Matches,,,,
Bruno Petković,hr CRO,FW,31-054,8.0,0,0,0,9,18,5,1,0,4,,,0,Matches,,,,
Botond Balogh,hu HUN,DF,23-156,2025-09-06 00:00:00,3,0,0,5,8,0,0,5,9,,,0,Matches,,,,
Joseph Nonge,be BEL,MF,20-178,2025-03-06 00:00:00,1,0,0,18,17,0,1,7,7,,,0,Matches,,,,
Hrvoje Smolčić,hr CRO,DF,25-084,2025-07-05 00:00:00,1,0,0,12,5,0,4,11,4,,,0,Matches,,,,
Habib Keita,ml MLI,MF,23-277,2025-03-05 00:00:00,0,0,0,8,8,0,5,3,5,,,0,Matches,,,,
Ahmet Oğuz,tr TUR,DF,32-297,2025-08-04 00:00:00,3,0,0,11,7,0,21,11,11,,,0,Matches,,,,
Massadio Haïdara,ml MLI,DF,32-342,2025-03-04 00:00:00,0,0,0,7,6,0,16,2,1,,,0,Matches,,,,
Karol Linetty,pl POL,MF,30-280,2025-06-04 00:00:00,2,0,0,13,5,0,15,6,2,,,0,Matches,,,,
Can Keles,at AUT,"FW,MF",24-068,2025-04-04 00:00:00,2,1,0,7,6,0,20,1,4,,,0,Matches,,,,
Oleksandr Syrota,ua UKR,DF,25-151,4.0,0,0,0,6,0,0,0,4,1,,,1,Matches,,,,
Aaron Appindangoyé,ga GAB,DF,33-262,2025-05-03 00:00:00,0,0,0,5,1,1,0,5,1,,,0,Matches,,,,
Ryan Mendes,cv CPV,FW,35-305,3.0,0,0,0,3,1,0,5,2,2,,,0,Matches,,,,
Dan Agyei,eng ENG,MF,28-161,4.0,0,0,0,5,4,1,12,2,0,,,0,Matches,,,,
Muharrem Cinan,,DF,27-180,2025-05-03 00:00:00,2,0,0,1,3,0,29,3,8,,,0,Matches,,,,
Serdar Dursun,tr TUR,FW,34-021,2025-02-03 00:00:00,3,0,0,9,7,1,0,0,0,,,0,Matches,,,,
Rigoberto Rivas,hn HON,MF,27-101,2025-05-02 00:00:00,1,0,0,7,2,1,12,1,3,,,0,Matches,,,,
Darko Churlinov,mk MKD,"MF,FW",25-121,2025-05-02 00:00:00,0,0,0,1,2,2,9,1,2,,,0,Matches,,,,
Samet Yalçın,,MF,31-251,2025-04-02 00:00:00,0,1,0,3,0,1,1,3,2,,,0,Matches,,,,
Oğulcan Çağlayan,tr TUR,FW,29-232,2025-02-02 00:00:00,1,0,0,2,1,3,2,0,0,,,0,Matches,,,,
Tarkan Serbest,tr TUR,MF,31-191,2025-05-01 00:00:00,0,0,0,2,3,0,0,2,0,,,0,Matches,,,,
Mateusz Wieteska,pl POL,DF,28-271,0.2,0,0,0,0,0,0,0,1,0,,,0,Matches,,,,
Mesut Can Tunalı,,MF,24-124,0.5,0,0,0,0,0,0,0,0,0,,,0,Matches,,,,
Furkan Gedik,,MF,23-120,0.2,0,0,0,0,0,0,1,0,0,,,0,Matches,,,,
Cihat Çelik,nl NED,MF,29-311,0.1,0,0,0,1,0,0,0,0,0,,,0,Matches,,,,
Squad Total,,,2025-08-28 00:00:00,11.0,29,2,0,170,149,20,171,94,94,,,2,,,,,
Opponent Total,,,2025-05-28 00:00:00,11.0,26,0,0,159,162,12,176,109,103,,,0,,,,,
,,,,,,,,,,,,,,,,,,,,,
"Totals may not be complete for all senior-level play, see coverage note.",,,,,,,,,,,,,,,,,,,,,
