Standard Stats 2025-2026 Gençlerbirliği: Süper Lig,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21
,,,,,,,,,,,,,,,,,,,,,
Glossary,,,,,,,,,,,,,,,,,,,,,
Toggle Per90 Stats,,,,,,,,,,,,,,,,,,,,,
,,,,,Playing Time,,,Performance,,,,,,,,Per 90 Minutes,,,,,
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Daniel Popa,ro ROU,FW,31-118,1,1,67,0.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Fıratcan Üzüm,,MF,26-158,1,1,45,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Oghenekaro Etebo,ng NGA,MF,30-000,1,1,41,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Sinan Osmanoğlu,tr TUR,DF,35-304,7,0,70,0.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Kevin Csoboth,hu HUN,FW,25-142,4,0,47,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Dilhan Demir,de GER,MF,22-134,2,0,24,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Furkan Ayaz,,,16-039,2,0,15,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Mehmet Akbal,,MF,18-085,0,0,,,,,,,,,,,,,,,,Matches
Yiğit Aydar,,DF,17-050,0,0,,,,,,,,,,,,,,,,Matches
Ebrar Aydın,,GK,25-040,0,0,,,,,,,,,,,,,,,,Matches
Mikail Okyar,,MF,26-290,0,0,,,,,,,,,,,,,,,,Matches
Yusuf Temel,,FW,17-281,0,0,,,,,,,,,,,,,,,,Matches
Squad Total,,,2025-03-28 00:00:00,12,132,1.08,12.0,11,5,16,9,2,3,28,4,0.92,0.42,1933-01-01 00:00:00,0.75,2017-01-01 00:00:00,
Opponent Total,,,2025-04-28 00:00:00,12,132,1.08,12.0,16,11,27,14,2,2,27,0,1933-01-01 00:00:00,0.92,2025-02-01 00:00:00,2017-01-01 00:00:00,2025-08-02 00:00:00,
,,,,,,,,,,,,,,,,,,,,,
"Totals may not be complete for all senior-level play, see coverage note",,,,,,,,,,,,,,,,,,,,,
