Playing Time 2025-2026 Konyaspor: Süper Lig,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21
,,,,,,,,,,,,,,,,,,,,,
Glossary,,,,,,,,,,,,,,,,,,,,,
Toggle Per90 Stats,,,,,,,,,,,,,,,,,,,,,
,,,,,Playing Time,,,,Starts,,,Subs,,,Team Success,,,,,,
Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,Matches
Kaan Akyazi,,FW,20-074,3,20,7,2.0,0.2,0,,0,3,7,4,0.33,1,0,1,+4.50,+4.59,Matches
Ufuk Akyol,de GER,MF,28-074,1,2,2,0.2,0.0,0,,0,1,2,0,1.00,0,0,0,0.00,0.00,Matches
Mücahit Ibrahimoglu,at AUT,MF,20-245,2,2,1,0.2,0.0,0,,0,2,1,5,1950-01-01 00:00:00,0,0,0,0.00,0.00,Matches
Karahan Yasir Subaşı,tr TUR,DF,29-312,1,1,1,0.1,0.0,0,,0,1,1,9,3.00,0,0,0,0.00,0.00,Matches
Egemen Aydın,,GK,18-181,0,,,,,0,,0,0,,1,,,,,,,Matches
İsmail Buğa,,MF,19-093,0,,,,,0,,0,0,,1,,,,,,,Matches
Muzaffer Eriş,,DF,19-113,0,,,,,0,,0,0,,1,,,,,,,Matches
Squad Total,,,2025-08-28 00:00:00,11,990,90,100,11.0,121,83,72,48,17,62,2027-01-01 00:00:00,18,18,0,0.00,,
Opponent Total,,,2025-09-27 00:00:00,11,990,90,100,11.0,121,83,72,49,20,59,1955-01-01 00:00:00,18,18,0,0.00,,
,,,,,,,,,,,,,,,,,,,,,
"Totals may not be complete for all senior-level play, see",,,,,,,,,,,,,,,,,,,,,
