Standard Stats 2025-2026 Eyüpspor: Süper Lig,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21
,,,,,,,,,,,,,,,,,,,,,
Glossary,,,,,,,,,,,,,,,,,,,,,
Toggle Per90 Stats,,,,,,,,,,,,,,,,,,,,,
,,,,,Playing Time,,,Performance,,,,,,,,Per 90 Minutes,,,,,
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Emir Ortakaya,tr TUR,DF,21-140,1,0,14,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Metehan Altunbaş,tr TUR,FW,22-306,2,0,7,0.1,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Mete-Kaan Demir,tr TUR,FW,27-180,1,0,1,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Hamza Akman,tr TUR,MF,21-043,0,0,,,,,,,,,,,,,,,,Matches
Cengiz Köseer,tr TUR,GK,22-312,0,0,,,,,,,,,,,,,,,,Matches
Gilbert Mendy,sn SEN,DF,21-004,0,0,,,,,,,,,,,,,,,,Matches
Halil Yeral,tr TUR,GK,25-312,0,0,,,,,,,,,,,,,,,,Matches
Jankat Yilmaz,tr TUR,GK,21-085,0,0,,,,,,,,,,,,,,,,Matches
Squad Total,,,2025-06-29 00:00:00,11,121,990,11.0,6,5,11,6,0,0,25,0,0.55,0.45,1.00,0.55,1.00,
Opponent Total,,,2025-03-28 00:00:00,11,121,990,11.0,14,10,24,10,4,4,25,0,2027-01-01 00:00:00,0.91,2018-02-01 00:00:00,0.91,1982-01-01 00:00:00,
,,,,,,,,,,,,,,,,,,,,,
"Totals may not be complete for all senior-level play, see coverage note.",,,,,,,,,,,,,,,,,,,,,
