Player,Team,Pos,Gls_p90,Ast_p90,G+A_p90,PosGroup,Is_Attacker,Is_Defender
Çağrı Balta,Galatasayar,FW,,,,FW,True,False
Kacper Kozłowski,Gaziantep,MF,0.26,0.09,0.35,MF,True,True
Alexandru Maxim,Gaziantep,"MF,FW",0.18,0.45,0.63,MF,True,True
Kévin Rodrigues,Gaziantep,"DF,MF",0.18,0.09,0.28,DF,False,True
Myenty Abena,Gaziantep,DF,0.11,0.0,0.11,DF,False,True
Mustafa Burak Bozan,Gaziantep,GK,0.0,0.11,0.11,GK,False,False
Melih Kabasakal,Gaziantep,"MF,DF",0.12,0.12,0.24,MF,True,True
Arda Kızıldağ,Gaziantep,"DF,MF",0.13,0.0,0.13,DF,False,True
Christopher Lungoyi,Gaziantep,"MF,FW",0.27,0.27,0.53,MF,True,True
Luis Pérez,Gaziantep,"MF,DF",0.0,0.0,0.0,MF,True,True
Deian Sorescu,Gaziantep,"MF,DF",0.14,0.0,0.14,MF,True,True
Mohamed Lamine Bayo,Gaziantep,"FW,MF",0.34,0.0,0.34,FW,True,False
Drissa Camara,Gaziantep,MF,0.18,0.36,0.53,MF,True,True
Tayyib Talha Sanuç,Gaziantep,"DF,MF",0.0,0.0,0.0,DF,False,True
Semih Güler,Gaziantep,DF,0.0,0.0,0.0,DF,False,True
Badou Ndiaye,Gaziantep,MF,0.0,0.26,0.26,MF,True,True
Emmanuel Boateng,Gaziantep,FW,0.0,0.0,0.0,FW,True,False
Ogün Özçiçek,Gaziantep,MF,0.0,0.0,0.0,MF,True,True
Zafer Görgen,Gaziantep,GK,0.0,0.0,0.0,GK,False,False
Yusuf Kabadayı,Gaziantep,"MF,FW",0.43,0.0,0.43,MF,True,True
Juninho Bacuna,Gaziantep,MF,0.0,0.0,0.0,MF,True,True
Enver Kulasin,Gaziantep,MF,0.0,0.0,0.0,MF,True,True
Nazim Sangaré,Gaziantep,DF,0.0,0.0,0.0,DF,False,True
Salem M'bakata,Gaziantep,DF,0.0,0.0,0.0,DF,False,True
Ali Kalın,Gaziantep,FW,0.0,0.0,0.0,FW,True,False
Mirza Cihan,Gaziantep,FW,0.0,0.0,0.0,FW,True,False
Sokratis Dioudis,Gaziantep,GK,0.0,0.0,0.0,GK,False,False
Rob Nizet,Gaziantep,DF,0.0,0.0,0.0,DF,False,True
İbrahim Alkış,Gaziantep,GK,,,,GK,False,False
Onur Başyiğit,Gaziantep,DF,,,,DF,False,True
Kuzey Bulgulu,Gaziantep,NAN,,,,NAN,False,False
Muhammet Güneş,Gaziantep,MF,,,,MF,True,True
Berke Özçelik,Gaziantep,MF,,,,MF,True,True
Opponent Total,Gaziantep,NAN,,0.92,,NAN,False,False

Dimitris Goutas,genclerbirligi,DF,0.08,0.0,0.08,DF,False,True
Pedro Pereira,genclerbirligi,DF,0.0,0.0,0.0,DF,False,True
Göktan Gürpüz,genclerbirligi,"MF,FW",0.0,0.21,0.21,MF,True,True
Thalisson Kelven,genclerbirligi,DF,0.1,0.0,0.1,DF,False,True
Žan Žužek,genclerbirligi,"DF,MF",0.21,0.0,0.21,DF,False,True
Matěj Hanousek,genclerbirligi,DF,0.0,0.0,0.0,DF,False,True
M'Baye Niang,genclerbirligi,FW,0.25,0.25,0.5,FW,True,False
Oğulcan Ülgün,genclerbirligi,MF,0.26,0.0,0.26,MF,True,True
Erhan Erentürk,genclerbirligi,GK,0.0,0.0,0.0,GK,False,False
Franco Tongya,genclerbirligi,"MF,FW",0.32,0.0,0.32,MF,True,True
Tom Dele-Bashiru,genclerbirligi,MF,0.0,0.16,0.16,MF,True,True
Sekou Koita,genclerbirligi,"MF,FW",0.0,0.0,0.0,MF,True,True
Metehan Mimaroğlu,genclerbirligi,"MF,FW",0.2,0.0,0.2,MF,True,True
Abdurrahim Dursun,genclerbirligi,"MF,DF",0.0,0.0,0.0,MF,True,True
