Player,Team,Pos,Gls_p90,Ast_p90,G+A_p90,PosGroup,Is_Attacker,Is_Defender,TeamSheet,FM_Mevki,FM_Rol,FM_Rol_Base,FM_Rol_Gorev
Onurcan Piri,kayserispor,GK,0.0,0.0,0.0,GK,False,False,Kayserispor,Kaleci,Kaleci (Savunma),Kaleci,Savunma
Youssef Aït Bennasser,kayserispor,MF,0.0,0.0,0.0,MF,True,True,Kayserispor,Ön Libero,Defansif Oyun Kurucu (Destek),Defansif Oyun Kurucu,Destek
Nurettin Korkmaz,kayserispor,DF,0.0,0.64,0.64,DF,False,True,Kayserispor,,,,
Kayra Cihan,kayserispor,DF,0.0,0.0,0.0,DF,False,True,Kayserispor,,,,
Burak Kapacak,kayserispor,DF,0.0,0.42,0.42,DF,False,True,Kayserispor,Sağ Bek,Ofansif Bek (Hücum),Ofansif Bek,Hücum
Mehmet Eray Özbek,kayserispor,MF,0.0,0.0,0.0,MF,True,True,Kayserispor,,,,
Ali Karimi,kayserispor,MF,0.0,0.0,0.0,MF,True,True,Kayserispor,Merkez Orta Saha,Standart Orta Saha (Destek),Standart Orta Saha,Destek
Talha Sarıarslan,kayserispor,FW,0.0,,,FW,True,False,Kayserispor,Santrafor,Fırsatçı Golcü,Fırsatçı Golcü,
Yiğit Çeltik,kayserispor,MF,0.0,0.0,0.0,MF,True,True,Kayserispor,,,,
Deniz Donmezer,kayserispor,GK,,,,GK,False,False,Kayserispor,,,,
Baran Gezek,kayserispor,MF,,,,MF,True,True,Kayserispor,,,,
Arda Kaya,kayserispor,MF,,,,MF,True,True,Kayserispor,,,,
Mustafa Obut,kayserispor,DF,,,,DF,False,True,Kayserispor,,,,
Mehmet Öztürk,kayserispor,GK,,,,GK,False,False,Kayserispor,,,,
Opponent Total,kayserispor,NAN,,,,NAN,False,False,Kayserispor,,,,
Aleksandar Jovanović,kocaelispor,GK,0.0,0.0,0.0,GK,False,False,Kocaelispor,,,,
Anfernee Dijksteel,kocaelispor,DF,0.0,0.0,0.0,DF,False,True,Kocaelispor,,,,
Tayfur Bingöl,kocaelispor,"MF,DF",0.48,0.0,0.48,MF,True,True,Kocaelispor,Merkez Orta Saha,Savaşçı Orta Saha (Destek),Savaşçı Orta Saha,Destek
Show,kocaelispor,MF,0.0,0.0,0.0,MF,True,True,Kocaelispor,,,,
Bruno Petković,kocaelispor,FW,0.5,0.0,0.5,FW,True,False,Kocaelispor,Santrafor,Pivot Santrafor (Destek),Pivot Santrafor,Destek
Botond Balogh,kocaelispor,DF,0.0,0.0,0.0,DF,False,True,Kocaelispor,Stoper,Standart Stoper (Durdurucu),Standart Stoper,Durdurucu
Joseph Nonge,kocaelispor,MF,0.0,0.0,0.0,MF,True,True,Kocaelispor,,,,
Hrvoje Smolčić,kocaelispor,DF,0.0,0.0,0.0,DF,False,True,Kocaelispor,Stoper,Standart Stoper (Sıkı Defans),Standart Stoper,Sıkı Defans
Habib Keita,kocaelispor,MF,0.19,0.38,0.57,MF,True,True,Kocaelispor,,,,
Ahmet Oğuz,kocaelispor,DF,0.0,0.0,0.0,DF,False,True,Kocaelispor,Sağ Bek,Standart Bek (Destek),Standart Bek,Destek
Massadio Haïdara,kocaelispor,DF,0.0,0.0,0.0,DF,False,True,Kocaelispor,Sol Bek,Standart Bek (Savunma),Standart Bek,Savunma
Karol Linetty,kocaelispor,MF,0.0,0.22,0.22,MF,True,True,Kocaelispor,Merkez Orta Saha,İki Yönlü Orta Saha,İki Yönlü Orta Saha,
Can Keles,kocaelispor,"FW,MF",0.0,0.23,0.23,FW,True,False,Kocaelispor,,,,
Oleksandr Syrota,kocaelispor,DF,0.0,0.0,0.0,DF,False,True,Kocaelispor,Stoper,Pas Dağıtan Stoper (Sıkı Defans),Pas Dağıtan Stoper,Sıkı Defans
Aaron Appindangoyé,kocaelispor,DF,0.0,0.0,0.0,DF,False,True,Kocaelispor,,,,
Ryan Mendes,kocaelispor,FW,0.0,0.0,0.0,FW,True,False,Kocaelispor,Sol Kanat,Kanat Oyuncusu (Hücum),Kanat Oyuncusu,Hücum
Dan Agyei,kocaelispor,MF,0.0,0.0,0.0,MF,True,True,Kocaelispor,Santrafor,Yaratıcı Forvet,Yaratıcı Forvet,
Muharrem Cinan,kocaelispor,DF,0.0,0.0,0.0,DF,False,True,Kocaelispor,Sol Bek,Standart Bek (Destek),Standart Bek,Destek
Serdar Dursun,kocaelispor,FW,0.31,0.0,0.31,FW,True,False,Kocaelispor,Santrafor,Pivot Santrafor (Hücum),Pivot Santrafor,Hücum
Rigoberto Rivas,kocaelispor,MF,0.0,0.4,0.4,MF,True,True,Kocaelispor,Sağ Kanat,Çalışkan Kanat Oyuncusu (Hücum),Çalışkan Kanat Oyuncusu,Hücum
Darko Churlinov,kocaelispor,"MF,FW",0.0,0.0,0.0,MF,True,True,Kocaelispor,Sol Kanat,Kanat Oyuncusu (Hücum),Kanat Oyuncusu,Hücum
Samet Yalçın,kocaelispor,MF,0.0,0.0,0.0,MF,True,True,Kocaelispor,,,,
Oğulcan Çağlayan,kocaelispor,FW,0.0,0.0,0.0,FW,True,False,Kocaelispor,Santrafor,Çalışkan Forvet (Destek),Çalışkan Forvet,Destek
Tarkan Serbest,kocaelispor,MF,0.0,0.0,0.0,MF,True,True,Kocaelispor,Ön Libero,Gizli Libero,Gizli Libero,
Mateusz Wieteska,kocaelispor,DF,0.0,0.0,0.0,DF,False,True,Kocaelispor,,,,
Mesut Can Tunalı,kocaelispor,MF,0.0,0.0,0.0,MF,True,True,Kocaelispor,,,,
Furkan Gedik,kocaelispor,MF,0.0,0.0,0.0,MF,True,True,Kocaelispor,,,,
Cihat Çelik,kocaelispor,MF,0.0,0.0,0.0,MF,True,True,Kocaelispor,,,,
Gökhan Değirmenci,kocaelispor,GK,,,,GK,False,False,Kocaelispor,Kaleci,Kaleci (Savunma),Kaleci,Savunma
Ege Bilim,kocaelispor,NAN,,,,NAN,False,False,Kocaelispor,,,,
Bünyamin Dalkılıç,kocaelispor,FW,,,,FW,True,False,Kocaelispor,,,,
Onur Öztonga,kocaelispor,DF,,,,DF,False,True,Kocaelispor,,,,
Ahmet Sagat,kocaelispor,FW,,,,FW,True,False,Kocaelispor,,,,
Umut Nayir,Konyaspor,FW,0.55,0.09,0.64,FW,True,False,Konyaspor,Santrafor,Pivot Santrafor (Destek),Pivot Santrafor,Destek
Guilherme Sityá,Konyaspor,"DF,MF",0.0,0.09,0.09,DF,False,True,Konyaspor,,,,
Yhoan Andzouana,Konyaspor,"DF,MF",0.09,0.28,0.37,DF,False,True,Konyaspor,Sağ Bek,Standart Bek (Destek),Standart Bek,Destek
Melih Ibrahimoglu,Konyaspor,MF,0.0,0.11,0.11,MF,True,True,Konyaspor,,,,
Adil Demirbağ,Konyaspor,DF,0.1,0.2,0.3,DF,False,True,Konyaspor,Stoper,Standart Stoper (Savunma),Standart Stoper,Savunma
Alassane Ndao,Konyaspor,"MF,FW",0.25,0.37,0.62,MF,True,True,Konyaspor,Sağ Kanat,Kanat Oyuncusu (Hücum),Kanat Oyuncusu,Hücum
Enis Bardhi,Konyaspor,MF,0.35,0.0,0.35,MF,True,True,Konyaspor,On Numara,Ofansif Orta Saha (Hücum),Ofansif Orta Saha,Hücum
Deniz Ertaş,Konyaspor,GK,0.0,0.12,0.12,GK,False,False,Konyaspor,Kaleci,Kaleci (Savunma),Kaleci,Savunma
Jackson Muleka,Konyaspor,"MF,FW",0.14,0.14,0.28,MF,True,True,Konyaspor,Sol Kanat,Çalışkan Forvet (Destek),Çalışkan Forvet,Destek
Riechedly Bazoer,Konyaspor,DF,0.0,0.0,0.0,DF,False,True,Konyaspor,Stoper,Pas Dağıtan Stoper (Savunma),Pas Dağıtan Stoper,Savunma
Marko Jevtović,Konyaspor,"DF,MF",0.0,0.0,0.0,DF,False,True,Konyaspor,,,,
Uğurcan Yazgılı,Konyaspor,DF,0.0,0.0,0.0,DF,False,True,Konyaspor,,,,
Pedrinho,Konyaspor,MF,0.24,0.0,0.24,MF,True,True,Konyaspor,On Numara,Oyun Kurucu (Destek),Oyun Kurucu,Destek
Jo Jinho,Konyaspor,MF,0.0,0.0,0.0,MF,True,True,Konyaspor,,,,
Bahadır Güngördü,Konyaspor,GK,0.0,0.0,0.0,GK,False,False,Konyaspor,Kaleci,Kaleci (Savunma),Kaleci,Savunma
Danijel Aleksić,Konyaspor,MF,0.46,0.0,0.46,MF,True,True,Konyaspor,,,,
Morten Bjørlo,Konyaspor,MF,0.0,0.0,0.0,MF,True,True,Konyaspor,Merkez Orta Saha,İki Yönlü Orta Saha,İki Yönlü Orta Saha,
Muhammet Tunahan Taşçı,Konyaspor,MF,0.67,0.67,,MF,True,True,Konyaspor,,,,
Josip Čalušić,Konyaspor,DF,0.0,0.0,0.0,DF,False,True,Konyaspor,,,,
Marius Ştefănescu,Konyaspor,"DF,FW",0.0,0.0,0.0,DF,False,True,Konyaspor,,,,
Melih Bostan,Konyaspor,FW,0.0,0.0,0.0,FW,True,False,Konyaspor,Santrafor,Fırsatçı Golcü,Fırsatçı Golcü,
Kaan Akyazi,Konyaspor,FW,0.0,0.0,0.0,FW,True,False,Konyaspor,,,,
Ufuk Akyol,Konyaspor,MF,0.0,0.0,0.0,MF,True,True,Konyaspor,Ön Libero,Defansif Orta Saha (Destek),Defansif Orta Saha,Destek
Mücahit Ibrahimoglu,Konyaspor,MF,0.0,0.0,0.0,MF,True,True,Konyaspor,,,,
Karahan Yasir Subaşı,Konyaspor,DF,0.0,0.0,0.0,DF,False,True,Konyaspor,,,,
Egemen Aydın,Konyaspor,GK,,,,GK,False,False,Konyaspor,Kaleci,Kaleci (Savunma),Kaleci,Savunma
İsmail Buğa,Konyaspor,MF,,,,MF,True,True,Konyaspor,,,,
Muzaffer Eriş,Konyaspor,DF,,,,DF,False,True,Konyaspor,,,,
Opponent Total,Konyaspor,NAN,,,,NAN,False,False,Konyaspor,,,,
Casper Højer Nielsen,Rizespor,DF,0.0,0.0,0.0,DF,False,True,Rizespor,,,,
Giannis Papanikolaou,Rizespor,MF,0.09,0.0,0.09,MF,True,True,Rizespor,Ön Libero,Savaşçı Orta Saha (Savunma),Savaşçı Orta Saha,Savunma
Qazim Laçi,Rizespor,MF,0.0,0.19,0.19,MF,True,True,Rizespor,Merkez Orta Saha,İki Yönlü Orta Saha,İki Yönlü Orta Saha,
Muhammet Taha Şahin,Rizespor,DF,0.0,0.0,0.0,DF,False,True,Rizespor,Sağ Bek,Standart Bek (Destek),Standart Bek,Destek
Samet Akaydın,Rizespor,DF,0.0,0.09,0.09,DF,False,True,Rizespor,Stoper,Çakılı Stoper,Çakılı Stoper,
Attila Mocsi,Rizespor,DF,0.11,0.0,0.11,DF,False,True,Rizespor,Stoper,Standart Stoper (Durdurucu),Standart Stoper,Durdurucu
Ali Sowe,Rizespor,FW,0.12,0.36,0.48,FW,True,False,Rizespor,Santrafor,Pivot Santrafor (Destek),Pivot Santrafor,Destek
Yahia Fofana,Rizespor,GK,0.0,0.0,0.0,GK,False,False,Rizespor,Kaleci,Kaleci (Savunma),Kaleci,Savunma
Muhamed Buljubasic,Rizespor,MF,0.0,0.0,0.0,MF,True,True,Rizespor,Merkez Orta Saha,Standart Orta Saha (Destek),Standart Orta Saha,Destek
Jesurun Rak Sakyi,Rizespor,"MF,FW",0.84,0.0,0.84,MF,True,True,Rizespor,,,,
Erdem Canpolat,Rizespor,GK,0.0,0.0,0.0,GK,False,False,Rizespor,Kaleci,Kaleci (Savunma),Kaleci,Savunma
Mithat Pala,Rizespor,"MF,DF",0.0,0.0,0.0,MF,True,True,Rizespor,Merkez Orta Saha,Standart Orta Saha (Destek),Standart Orta Saha,Destek
Ibrahim Olawoyin,Rizespor,MF,0.22,0.0,0.22,MF,True,True,Rizespor,On Numara,Ofansif Orta Saha (Hücum),Ofansif Orta Saha,Hücum
Emrecan Bulut,Rizespor,"MF,FW",0.22,0.44,0.67,MF,True,True,Rizespor,Sol Kanat,Kanat Oyuncusu (Hücum),Kanat Oyuncusu,Hücum
Václav Jurečka,Rizespor,FW,0.23,0.0,0.23,FW,True,False,Rizespor,,,,
Loide Augusto,Rizespor,"MF,FW",0.0,0.33,0.33,MF,True,True,Rizespor,Sağ Kanat,Kanat Oyuncusu (Destek),Kanat Oyuncusu,Destek
Halil Dervişoğlu,Rizespor,FW,0.0,0.0,0.0,FW,True,False,Rizespor,Santrafor,Yardımcı Forvet (Hücum),Yardımcı Forvet,Hücum
Altin Zeqiri,Rizespor,"MF,FW",0.3,0.0,0.3,MF,True,True,Rizespor,Sol Kanat,Kanat Oyuncusu (Destek),Kanat Oyuncusu,Destek
Xusniddin Aliqulov,Rizespor,DF,0.0,0.0,0.0,DF,False,True,Rizespor,,,,
Modibo Sagnan,Rizespor,DF,0.0,0.0,0.0,DF,False,True,Rizespor,Stoper,Standart Stoper (Sıkı Defans),Standart Stoper,Sıkı Defans
Valentin Mihaila,Rizespor,MF,0.6,0.0,0.6,MF,True,True,Rizespor,,,,
Taylan Antalyalı,Rizespor,MF,0.0,0.0,0.0,MF,True,True,Rizespor,Ön Libero,Defansif Oyun Kurucu (Savunma),Defansif Oyun Kurucu,Savunma
Dal Varesanovic,Rizespor,MF,,0.0,,MF,True,True,Rizespor,,,,
Seyfettin Anıl Yaşar,Rizespor,DF,,,,DF,False,True,Rizespor,,,,
Yakup Ayan,Rizespor,NAN,,,,NAN,False,False,Rizespor,,,,
Bayram Çapoğlu,Rizespor,MF,,,,MF,True,True,Rizespor,,,,
Emir Çoban,Rizespor,DF,,,,DF,False,True,Rizespor,,,,
Efe Doğan,Rizespor,GK,,,,GK,False,False,Rizespor,Kaleci,Kaleci (Savunma),Kaleci,Savunma
Furkan Orak,Rizespor,DF,,,,DF,False,True,Rizespor,Sağ Bek,Standart Bek (Savunma),Standart Bek,Savunma
Osman Topçu,Rizespor,GK,,,,GK,False,False,Rizespor,,,,
Deniz Yaşar,Rizespor,FW,,,,FW,True,False,Rizespor,Stoper,Standart Stoper (Savunma),Standart Stoper,Savunma
Opponent Total,Rizespor,NAN,,,,NAN,False,False,Rizespor,,,,
Rick van Drongelen,Samsunspor,DF,0.18,0.0,0.18,DF,False,True,Samsunspor,,,,
Okan Kocuk,Samsunspor,GK,0.0,0.0,0.0,GK,False,False,Samsunspor,Kaleci,Kaleci (Savunma),Kaleci,Savunma
Ľubomír Šatka,Samsunspor,DF,0.0,0.1,0.1,DF,False,True,Samsunspor,Stoper,Standart Stoper (Savunma),Standart Stoper,Savunma
Logi Tómasson,Samsunspor,DF,0.0,0.2,0.2,DF,False,True,Samsunspor,,,,
Carlo Holse,Samsunspor,MF,0.53,0.11,0.63,MF,True,True,Samsunspor,On Numara,Serbest Oyuncu (Trequartista),Serbest Oyuncu,Trequartista
Zeki Yavru,Samsunspor,DF,0.0,0.0,0.0,DF,False,True,Samsunspor,Sağ Bek,Standart Bek (Destek),Standart Bek,Destek
Anthony Musaba,Samsunspor,MF,0.23,0.23,0.47,MF,True,True,Samsunspor,Sağ Kanat,Kanat Oyuncusu (Hücum),Kanat Oyuncusu,Hücum
Olivier Ntcham,Samsunspor,MF,0.0,0.0,0.0,MF,True,True,Samsunspor,Merkez Orta Saha,İki Yönlü Orta Saha,İki Yönlü Orta Saha,
Marius Mouandilmadji,Samsunspor,FW,0.25,0.0,0.25,FW,True,False,Samsunspor,Santrafor,Pivot Santrafor (Destek),Pivot Santrafor,Destek
Antoine Makoumbou,Samsunspor,MF,0.0,0.0,0.0,MF,True,True,Samsunspor,Ön Libero,Defansif Oyun Kurucu (Destek),Defansif Oyun Kurucu,Destek
Celil Yüksel,Samsunspor,MF,0.0,0.19,0.19,MF,True,True,Samsunspor,Merkez Orta Saha,Standart Orta Saha (Destek),Standart Orta Saha,Destek
Emre Kılınç,Samsunspor,"MF,FW",0.0,0.23,0.23,MF,True,True,Samsunspor,Sol Kanat,Çalışkan Kanat Oyuncusu (Destek),Çalışkan Kanat Oyuncusu,Destek
Tanguy Coulibaly,Samsunspor,MF,0.0,0.0,0.0,MF,True,True,Samsunspor,Sağ Kanat,Kanat Oyuncusu (Hücum),Kanat Oyuncusu,Hücum
Cherif Ndiaye,Samsunspor,FW,,0.0,,FW,True,False,Samsunspor,Santrafor,Pivot Santrafor (Hücum),Pivot Santrafor,Hücum
Yunus Emre Çift,Samsunspor,MF,0.0,0.0,0.0,MF,True,True,Samsunspor,Stoper,Standart Stoper (Savunma),Standart Stoper,Savunma
Landry Dimata,Samsunspor,"MF,FW",0.0,0.0,0.0,MF,True,True,Samsunspor,,,,
Joe Mendes,Samsunspor,MF,0.0,0.0,0.0,MF,True,True,Samsunspor,Sağ Bek,Standart Bek (Hücum),Standart Bek,Hücum
Toni Borevkovic,Samsunspor,DF,0.0,0.0,0.0,DF,False,True,Samsunspor,,,,
Afonso Sousa,Samsunspor,MF,0.0,0.0,0.0,MF,True,True,Samsunspor,On Numara,Ofansif Orta Saha (Hücum),Ofansif Orta Saha,Hücum
Soner Gönül,Samsunspor,DF,0.0,0.0,0.0,DF,False,True,Samsunspor,Sol Bek,Standart Bek (Savunma),Standart Bek,Savunma
Soner Aydoğdu,Samsunspor,MF,0.0,0.0,0.0,MF,True,True,Samsunspor,Merkez Orta Saha,Oyun Kurucu (Destek),Oyun Kurucu,Destek
Arbnor Muja,Samsunspor,"FW,MF",0.0,0.0,0.0,FW,True,False,Samsunspor,,,,
Polat Yaldır,Samsunspor,FW,0.0,0.0,0.0,FW,True,False,Samsunspor,Sağ Kanat,Kanat Oyuncusu (Destek),Kanat Oyuncusu,Destek
Ebrima Ceesay,Samsunspor,FW,0.0,0.0,0.0,FW,True,False,Samsunspor,Sol Kanat,Kanat Oyuncusu (Destek),Kanat Oyuncusu,Destek
Tahsin Bülbül,Samsunspor,MF,0.0,0.0,0.0,MF,True,True,Samsunspor,,,,
Eyüp Aydın,Samsunspor,MF,,,,MF,True,True,Samsunspor,Ön Libero,Defansif Oyun Kurucu (Savunma),Defansif Oyun Kurucu,Savunma
Bedirhan Çetin,Samsunspor,DF,,,,DF,False,True,Samsunspor,Stoper,Standart Stoper (Savunma),Standart Stoper,Savunma
Albert Posiadala,Samsunspor,GK,,,,GK,False,False,Samsunspor,Kaleci,Kaleci (Savunma),Kaleci,Savunma
Efe Töruz,Samsunspor,GK,,,,GK,False,False,Samsunspor,,,,
Efe Üstün,Samsunspor,GK,,,,GK,False,False,Samsunspor,,,,
Opponent Total,Samsunspor,NAN,0.91,0.73,,NAN,False,False,Samsunspor,,,,
Tim Jabol-Folcarelli,Trabzonspor,MF,0.0,0.26,0.26,MF,True,True,Trabzonspor,Merkez Orta Saha,Standart Orta Saha (Destek),Standart Orta Saha,Destek
Paul Onuachu,Trabzonspor,FW,0.7,0.09,0.79,FW,True,False,Trabzonspor,Santrafor,Pivot Santrafor (Hücum),Pivot Santrafor,Hücum
Stefan Savić,Trabzonspor,DF,0.09,0.09,0.19,DF,False,True,Trabzonspor,Stoper,Standart Stoper (Sıkı Defans),Standart Stoper,Sıkı Defans
Arsenii Batahov,Trabzonspor,DF,0.0,0.0,0.0,DF,False,True,Trabzonspor,,,,
Mustafa Eskihellaç,Trabzonspor,DF,0.0,0.1,0.1,DF,False,True,Trabzonspor,Sol Bek,Standart Bek (Destek),Standart Bek,Destek
Wagner Pina,Trabzonspor,DF,0.0,0.19,0.19,DF,False,True,Trabzonspor,Sağ Bek,Ofansif Bek (Hücum),Ofansif Bek,Hücum
Oleksandr Zubkov,Trabzonspor,MF,0.11,0.11,0.22,MF,True,True,Trabzonspor,Sağ Kanat,Kanat Oyuncusu (Destek),Kanat Oyuncusu,Destek
Felipe Augusto,Trabzonspor,"MF,FW",0.6,0.0,0.6,MF,True,True,Trabzonspor,Santrafor,Yaratıcı Forvet,Yaratıcı Forvet,
Kazeem Olaigbe,Trabzonspor,MF,0.0,0.0,0.0,MF,True,True,Trabzonspor,Sol Kanat,Kanat Oyuncusu (Hücum),Kanat Oyuncusu,Hücum
André Onana,Trabzonspor,GK,0.0,0.12,0.12,GK,False,False,Trabzonspor,Kaleci,Libero Kaleci (Destek),Libero Kaleci,Destek
Okay Yokuşlu,Trabzonspor,"MF,DF",0.15,0.0,0.15,MF,True,True,Trabzonspor,Ön Libero,Ön Libero (Çapa),Ön Libero,Çapa
Christ Inao Oulaï,Trabzonspor,MF,0.18,0.37,0.55,MF,True,True,Trabzonspor,Ön Libero,Defansif Orta Saha (Savunma),Defansif Orta Saha,Savunma
Uğurcan Çakır,Trabzonspor,GK,0.0,0.0,0.0,GK,False,False,Trabzonspor,,,,
Ernest Muçi,Trabzonspor,"MF,FW",0.0,0.0,0.0,MF,True,True,Trabzonspor,On Numara,Serbest Oyuncu (Trequartista),Serbest Oyuncu,Trequartista
Ozan Tufan,Trabzonspor,"MF,DF",0.0,0.0,0.0,MF,True,True,Trabzonspor,Merkez Orta Saha,İki Yönlü Orta Saha,İki Yönlü Orta Saha,
Arif Boşluk,Trabzonspor,DF,0.0,0.0,0.0,DF,False,True,Trabzonspor,Sol Bek,Standart Bek (Destek),Standart Bek,Destek
Rayyan Baniya,Trabzonspor,DF,0.0,0.0,0.0,DF,False,True,Trabzonspor,Stoper,Standart Stoper (Savunma),Standart Stoper,Savunma
Edin Višća,Trabzonspor,MF,0.0,0.0,0.0,MF,True,True,Trabzonspor,Sağ Kanat,Çalışkan Kanat Oyuncusu (Destek),Çalışkan Kanat Oyuncusu,Destek
Anthony Nwakaeme,Trabzonspor,MF,0.0,0.0,0.0,MF,True,True,Trabzonspor,Sol Kanat,İçe Kat Eden Oyuncu (Destek),İçe Kat Eden Oyuncu,Destek
Danylo Sikan,Trabzonspor,FW,0.76,0.0,0.76,FW,True,False,Trabzonspor,Santrafor,Çalışkan Forvet (Destek),Çalışkan Forvet,Destek
Benjamin Bouchouari,Trabzonspor,MF,0.0,0.0,0.0,MF,True,True,Trabzonspor,Merkez Orta Saha,Defansif Oyun Kurucu (Destek),Defansif Oyun Kurucu,Destek
Batista Mendy,Trabzonspor,"DF,MF",0.0,0.0,0.0,DF,False,True,Trabzonspor,,,,
Salih Malkoçoglu,Trabzonspor,MF,0.0,0.0,0.0,MF,True,True,Trabzonspor,,,,
Cihan Çanak,Trabzonspor,MF,0.0,0.0,0.0,MF,True,True,Trabzonspor,Sol Kanat,İçe Kat Eden Oyuncu (Destek),İçe Kat Eden Oyuncu,Destek
Muhammed Cham,Trabzonspor,MF,0.0,0.0,0.0,MF,True,True,Trabzonspor,,,,
Boran Başkan,Trabzonspor,MF,0.0,0.0,0.0,MF,True,True,Trabzonspor,,,,
Onuralp Çevikkan,Trabzonspor,GK,,,,GK,False,False,Trabzonspor,Kaleci,Kaleci (Savunma),Kaleci,Savunma
Ahmet Doğan Yıldırım,Trabzonspor,GK,,,,GK,False,False,Trabzonspor,,,,
Taha Emre İnce,Trabzonspor,DF,,,,DF,False,True,Trabzonspor,,,,
Serdar Saatçı,Trabzonspor,DF,,,,DF,False,True,Trabzonspor,Stoper,Standart Stoper (Durdurucu),Standart Stoper,Durdurucu
