Player,Team,Pos,Gls_p90,Ast_p90,G+A_p90,PosGroup,Is_Attacker,Is_Defender,TeamSheet,FM_Mevki,FM_Rol,FM_Rol_Base,FM_Rol_Gorev
Onur Ergün,Basaksehir,MF,0.0,0.7,0.7,MF,True,True,Başakşehir,Ön Libero,Defansif Orta Saha (Savunma),Defansif Orta Saha,Savunma
Abbosbek Fayzullayev,Basaksehir,MF,0.0,0.0,0.0,MF,True,True,Başakşehir,,,,
Hamza Güreler,Basaksehir,DF,0.0,0.0,0.0,DF,False,True,Başakşehir,Stoper,Standart Stoper (Savunma),Standart Stoper,Savunma
Deniz Dilmen,Basaksehir,GK,0.0,0.0,0.0,GK,False,False,Başakşehir,,,,
Davie Selke,Basaksehir,FW,0.0,0.0,0.0,FW,True,False,Başakşehir,Santrafor,Pivot Santrafor (Hücum),Pivot Santrafor,Hücum
Ömer Faruk Beyaz,Basaksehir,MF,0.0,0.0,0.0,MF,True,True,Başakşehir,,,,
Bertuğ Yıldırım,Basaksehir,FW,0.0,0.0,0.0,FW,True,False,Başakşehir,Santrafor,Pivot Santrafor (Destek),Pivot Santrafor,Destek
Doğan Alemdar,Basaksehir,GK,,,,GK,False,False,Başakşehir,Kaleci,Kaleci (Savunma),Kaleci,Savunma
Berkay Aslan,Basaksehir,MF,,,,MF,True,True,Başakşehir,,,,
Volkan Babacan,Basaksehir,GK,,,,GK,False,False,Başakşehir,Kaleci,Kaleci (Savunma),Kaleci,Savunma
Luca Stančič,Basaksehir,GK,,,,GK,False,False,Başakşehir,,,,
Opponent Total,Basaksehir,NAN,0.83,0.67,,NAN,False,False,Başakşehir,,,,
Tammy Abraham,Besiktas,FW,0.51,0.1,0.61,FW,True,False,Beşiktaş,Santrafor,Pivot Santrafor (Hücum),Pivot Santrafor,Hücum
Wilfred Ndidi,Besiktas,MF,0.11,0.0,0.11,MF,True,True,Beşiktaş,Ön Libero,Ön Libero (Çapa),Ön Libero,Çapa
Rafa Silva,Besiktas,MF,0.55,0.11,0.66,MF,True,True,Beşiktaş,On Numara,Serbest Oyuncu (Trequartista),Serbest Oyuncu,Trequartista
Orkun Kökçü,Besiktas,MF,0.0,0.22,0.22,MF,True,True,Beşiktaş,Merkez Orta Saha,Regista,Regista,
Mert Günok,Besiktas,GK,0.0,0.0,0.0,GK,False,False,Beşiktaş,Kaleci,Kaleci (Savunma),Kaleci,Savunma
Emir Topçu,Besiktas,DF,0.13,0.0,0.13,DF,False,True,Beşiktaş,,,,
Václav Černý,Besiktas,MF,0.16,0.64,0.8,MF,True,True,Beşiktaş,,,,
El Bilal Touré,Besiktas,"MF,FW",0.27,0.27,0.54,MF,True,True,Beşiktaş,Santrafor,Yaratıcı Forvet,Yaratıcı Forvet,
Tiago Djaló,Besiktas,DF,0.14,0.0,0.14,DF,False,True,Beşiktaş,Stoper,Pas Dağıtan Stoper (Sıkı Defans),Pas Dağıtan Stoper,Sıkı Defans
Gökhan Sazdağı,Besiktas,DF,0.0,0.0,0.0,DF,False,True,Beşiktaş,Sağ Bek,Çalışkan Kanat Oyuncusu (Savunma),Çalışkan Kanat Oyuncusu,Savunma
David Jurásek,Besiktas,DF,0.0,0.0,0.0,DF,False,True,Beşiktaş,Sol Bek,Ofansif Bek (Hücum),Ofansif Bek,Hücum
Ohis Felix Uduokhai,Besiktas,DF,0.0,0.0,0.0,DF,False,True,Beşiktaş,,,,
Rıdvan Yılmaz,Besiktas,DF,0.0,0.0,0.0,DF,False,True,Beşiktaş,Sol Bek,Standart Bek (Hücum),Standart Bek,Hücum
Gabriel Paulista,Besiktas,DF,0.0,0.2,0.2,DF,False,True,Beşiktaş,Stoper,Standart Stoper (Durdurucu),Standart Stoper,Durdurucu
Ersin Destanoğlu,Besiktas,GK,0.0,0.0,0.0,GK,False,False,Beşiktaş,Kaleci,Kaleci (Savunma),Kaleci,Savunma
Cengiz Ünder,Besiktas,MF,0.78,0.26,,MF,True,True,Beşiktaş,Sağ Kanat,İçe Kat Eden Oyuncu (Hücum),İçe Kat Eden Oyuncu,Hücum
Jonas Svensson,Besiktas,DF,0.0,0.0,0.0,DF,False,True,Beşiktaş,Sağ Bek,Standart Bek (Destek),Standart Bek,Destek
Milot Rashica,Besiktas,MF,0.0,0.25,0.25,MF,True,True,Beşiktaş,Sağ Kanat,Çalışkan Kanat Oyuncusu (Destek),Çalışkan Kanat Oyuncusu,Destek
Salih Uçan,Besiktas,MF,0.0,0.0,0.0,MF,True,True,Beşiktaş,Merkez Orta Saha,Oyun Kurucu (Destek),Oyun Kurucu,Destek
Devrim Şahin,Besiktas,MF,0.0,0.0,0.0,MF,True,True,Beşiktaş,,,,
Demir Ege Tıknaz,Besiktas,MF,0.0,0.46,0.46,MF,True,True,Beşiktaş,Ön Libero,Defansif Oyun Kurucu (Destek),Defansif Oyun Kurucu,Destek
Kartal Yılmaz,Besiktas,MF,0.0,0.0,0.0,MF,True,True,Beşiktaş,,,,
João Mário,Besiktas,MF,0.0,0.0,0.0,MF,True,True,Beşiktaş,,,,
Taylan Bulut,Besiktas,DF,0.0,0.0,0.0,DF,False,True,Beşiktaş,Sağ Bek,Standart Bek (Hücum),Standart Bek,Hücum
Necip Uysal,Besiktas,MF,0.0,0.0,0.0,MF,True,True,Beşiktaş,Ön Libero,Savaşçı Orta Saha (Savunma),Savaşçı Orta Saha,Savunma
Ernest Muçi,Besiktas,MF,0.0,0.0,0.0,MF,True,True,Beşiktaş,On Numara,Ofansif Orta Saha (Hücum),Ofansif Orta Saha,Hücum
Jota Silva,Besiktas,FW,0.76,0.0,0.76,FW,True,False,Beşiktaş,Sağ Kanat,Kanat Oyuncusu (Hücum),Kanat Oyuncusu,Hücum
Mustafa Hekimoğlu,Besiktas,FW,0.0,0.0,0.0,FW,True,False,Beşiktaş,Santrafor,Fırsatçı Golcü,Fırsatçı Golcü,
Serkan Terzi,Besiktas,DF,0.0,0.0,0.0,DF,False,True,Beşiktaş,,,,
Tayyib Talha Sanuç,Besiktas,DF,0.0,0.0,0.0,DF,False,True,Beşiktaş,,,,
Keny Arroyo,Besiktas,MF,,,,MF,True,True,Beşiktaş,,,,
Emre Bilgin,Besiktas,GK,,,,GK,False,False,Beşiktaş,Kaleci,Kaleci (Savunma),Kaleci,Savunma
Amir Hadžiahmetović,Besiktas,MF,,,,MF,True,True,Beşiktaş,,,,
Emrecan Uzunhan,Besiktas,MF,,,,MF,True,True,Beşiktaş,,,,
Opponent Total,Besiktas,NAN,,0.67,,NAN,False,False,Beşiktaş,,,,
Robin Yalçın,Eyupspor,DF,0.0,0.0,0.0,DF,False,True,Eyüpspor,Stoper,Çakılı Stoper,Çakılı Stoper,
Kerem Demirbay,Eyupspor,MF,0.0,0.0,0.0,MF,True,True,Eyüpspor,Merkez Orta Saha,Regista,Regista,
Marcos Felipe,Eyupspor,GK,0.0,0.0,0.0,GK,False,False,Eyüpspor,Kaleci,Kaleci (Savunma),Kaleci,Savunma
Nihad Mujakić,Eyupspor,DF,0.0,0.0,0.0,DF,False,True,Eyüpspor,,,,
Luccas Claro,Eyupspor,DF,0.0,0.0,0.0,DF,False,True,Eyüpspor,Stoper,Standart Stoper (Durdurucu),Standart Stoper,Durdurucu
Serdar Gürler,Eyupspor,"MF,FW",0.0,0.0,0.0,MF,True,True,Eyüpspor,Sol Kanat,Kanat Oyuncusu (Destek),Kanat Oyuncusu,Destek
Lucas Calegari,Eyupspor,"DF,MF",0.0,0.12,0.12,DF,False,True,Eyüpspor,,,,
Yalçın Kayan,Eyupspor,MF,0.0,0.27,0.27,MF,True,True,Eyüpspor,Merkez Orta Saha,Standart Orta Saha (Destek),Standart Orta Saha,Destek
Mame Baba Thiam,Eyupspor,FW,0.24,0.0,0.24,FW,True,False,Eyüpspor,,,,
Denis Drăguș,Eyupspor,"MF,FW",0.0,0.0,0.0,MF,True,True,Eyüpspor,Santrafor,Yaratıcı Forvet,Yaratıcı Forvet,
Svit Sešlar,Eyupspor,"MF,FW",0.17,0.17,0.35,MF,True,True,Eyüpspor,,,,
Halil Akbunar,Eyupspor,"MF,FW",0.22,0.0,0.22,MF,True,True,Eyüpspor,Sağ Kanat,Çalışkan Kanat Oyuncusu (Destek),Çalışkan Kanat Oyuncusu,Destek
Umut Meraş,Eyupspor,"DF,MF",0.0,0.0,0.0,DF,False,True,Eyüpspor,Sol Bek,Standart Bek (Savunma),Standart Bek,Savunma
Mateusz Łęgowski,Eyupspor,MF,0.0,0.26,0.26,MF,True,True,Eyüpspor,,,,
Prince Obeng Ampem,Eyupspor,MF,0.23,0.0,0.23,MF,True,True,Eyüpspor,,,,
Umut Bozok,Eyupspor,FW,0.34,0.0,0.34,FW,True,False,Eyüpspor,Santrafor,Fırsatçı Golcü,Fırsatçı Golcü,
Emre Akbaba,Eyupspor,MF,0.0,0.0,0.0,MF,True,True,Eyüpspor,On Numara,Gizli Forvet,Gizli Forvet,
Melih Kabasakal,Eyupspor,MF,0.0,0.0,0.0,MF,True,True,Eyüpspor,,,,
Berke Özer,Eyupspor,GK,0.0,0.0,0.0,GK,False,False,Eyüpspor,,,,
Talha Ulvan,Eyupspor,DF,0.0,0.0,0.0,DF,False,True,Eyüpspor,,,,
Taras Stepanenko,Eyupspor,MF,0.0,0.0,0.0,MF,True,True,Eyüpspor,Ön Libero,Ön Libero (Çapa),Ön Libero,Çapa
Ilter Tashkin,Eyupspor,MF,0.0,0.0,0.0,MF,True,True,Eyüpspor,,,,
Emir Ortakaya,Eyupspor,DF,0.0,0.0,0.0,DF,False,True,Eyüpspor,Stoper,Pas Dağıtan Stoper (Sıkı Defans),Pas Dağıtan Stoper,Sıkı Defans
Metehan Altunbaş,Eyupspor,FW,0.0,0.0,0.0,FW,True,False,Eyüpspor,,,,
Mete-Kaan Demir,Eyupspor,FW,0.0,0.0,0.0,FW,True,False,Eyüpspor,,,,
Hamza Akman,Eyupspor,MF,,,,MF,True,True,Eyüpspor,,,,
Cengiz Köseer,Eyupspor,GK,,,,GK,False,False,Eyüpspor,,,,
Gilbert Mendy,Eyupspor,DF,,,,DF,False,True,Eyüpspor,,,,
Halil Yeral,Eyupspor,GK,,,,GK,False,False,Eyüpspor,,,,
Jankat Yilmaz,Eyupspor,GK,,,,GK,False,False,Eyüpspor,,,,
Opponent Total,Eyupspor,NAN,,0.91,,NAN,False,False,Eyüpspor,,,,
Atakan Çankaya,Fatihkaragumruk,DF,0.09,0.09,0.18,DF,False,True,Fatih Karagümrük,Sağ Bek,Çakılı Bek,Çakılı Bek,
Ivo Grbić,Fatihkaragumruk,GK,0.0,0.0,0.0,GK,False,False,Fatih Karagümrük,,,,
Jure Balkovec,Fatihkaragumruk,DF,0.0,0.0,0.0,DF,False,True,Fatih Karagümrük,Sol Bek,Standart Bek (Destek),Standart Bek,Destek
Daniel Johnson,Fatihkaragumruk,MF,0.11,0.23,0.34,MF,True,True,Fatih Karagümrük,Merkez Orta Saha,İki Yönlü Orta Saha,İki Yönlü Orta Saha,
Tiago Çukur,Fatihkaragumruk,"MF,FW",0.12,0.0,0.12,MF,True,True,Fatih Karagümrük,Santrafor,Pivot Santrafor (Destek),Pivot Santrafor,Destek
Anıl Çınar,Fatihkaragumruk,DF,0.14,0.0,0.14,DF,False,True,Fatih Karagümrük,,,,
Sergio Antonio De Luiz Junior,Fatihkaragumruk,"MF,FW",0.14,0.0,0.14,MF,True,True,Fatih Karagümrük,,,,
Berkay Özcan,Fatihkaragumruk,MF,0.0,0.15,0.15,MF,True,True,Fatih Karagümrük,Merkez Orta Saha,Oyun Kurucu (Destek),Oyun Kurucu,Destek
Andre Gray,Fatihkaragumruk,FW,0.0,0.0,0.0,FW,True,False,Fatih Karagümrük,Santrafor,Fırsatçı Golcü,Fırsatçı Golcü,
Sam Larsson,Fatihkaragumruk,MF,0.2,0.41,0.61,MF,True,True,Fatih Karagümrük,On Numara,Serbest Oyuncu (Trequartista),Serbest Oyuncu,Trequartista
Marius Doh,Fatihkaragumruk,MF,0.0,0.0,0.0,MF,True,True,Fatih Karagümrük,,,,
Muhammed Kadıoğlu,Fatihkaragumruk,DF,0.0,0.0,0.0,DF,False,True,Fatih Karagümrük,,,,
Barış Kalayci,Fatihkaragumruk,MF,0.0,0.0,0.0,MF,True,True,Fatih Karagümrük,,,,
David Datro Fofana,Fatihkaragumruk,FW,0.74,0.0,0.74,FW,True,False,Fatih Karagümrük,Santrafor,Yaratıcı Forvet,Yaratıcı Forvet,
Çağtay Kurukalıp,Fatihkaragumruk,DF,0.0,0.34,0.34,DF,False,True,Fatih Karagümrük,Sol Bek,Standart Bek (Destek),Standart Bek,Destek
Ahmet Sivri,Fatihkaragumruk,"MF,FW",0.0,0.0,0.0,MF,True,True,Fatih Karagümrük,Sol Kanat,Kanat Oyuncusu (Destek),Kanat Oyuncusu,Destek
Matías Kranevitter,Fatihkaragumruk,MF,0.0,0.0,0.0,MF,True,True,Fatih Karagümrük,Ön Libero,Ön Libero (Çapa),Ön Libero,Çapa
Ricardo Esgaio,Fatihkaragumruk,"DF,MF",0.0,0.0,0.0,DF,False,True,Fatih Karagümrük,Sağ Bek,Ofansif Bek (Destek),Ofansif Bek,Destek
Enzo Roco,Fatihkaragumruk,DF,0.0,0.0,0.0,DF,False,True,Fatih Karagümrük,Stoper,Standart Stoper (Durdurucu),Standart Stoper,Durdurucu
Tarık Kalpaklı,Fatihkaragumruk,MF,0.0,0.0,0.0,MF,True,True,Fatih Karagümrük,,,,
Fatih Kuruçuk,Fatihkaragumruk,DF,0.0,0.0,0.0,DF,False,True,Fatih Karagümrük,,,,
Nikoloz Ugrekhelidze,Fatihkaragumruk,DF,0.0,0.0,0.0,DF,False,True,Fatih Karagümrük,Stoper,Standart Stoper (Savunma),Standart Stoper,Savunma
João Pedro Gomes Camacho,Fatihkaragumruk,MF,0.0,0.0,0.0,MF,True,True,Fatih Karagümrük,,,,
Alper Demirol,Fatihkaragumruk,MF,0.0,0.0,0.0,MF,True,True,Fatih Karagümrük,,,,
Ömer Gümüş,Fatihkaragumruk,MF,0.0,0.0,0.0,MF,True,True,Fatih Karagümrük,,,,
Tuğbey Akgün,Fatihkaragumruk,MF,0.0,0.0,0.0,MF,True,True,Fatih Karagümrük,,,,
Furkan Bekleviç,Fatihkaragumruk,GK,,,,GK,False,False,Fatih Karagümrük,Kaleci,Kaleci (Savunma),Kaleci,Savunma
Burhan Ersoy,Fatihkaragumruk,MF,,,,MF,True,True,Fatih Karagümrük,,,,
Kerem Özmen,Fatihkaragumruk,MF,,,,MF,True,True,Fatih Karagümrük,,,,
Kerem Yandal,Fatihkaragumruk,GK,,,,GK,False,False,Fatih Karagümrük,,,,
Opponent Total,Fatihkaragumruk,NAN,,,3.0,NAN,False,False,Fatih Karagümrük,,,,
Date,Fatihkaragumruk,COMP,,,,COMP,False,False,Fatih Karagümrük,,,,
Milan Škriniar,fenerbahce,DF,0.1,0.1,0.1,DF,False,True,Fenerbahçe,Stoper,Standart Stoper (Sıkı Defans),Standart Stoper,Sıkı Defans
Jayden Oosterwolde,fenerbahce,DF,0.0,0.0,0.0,DF,False,True,Fenerbahçe,Stoper,Pas Dağıtan Stoper (Savunma),Pas Dağıtan Stoper,Savunma
Youssef En-Nesyri,fenerbahce,FW,1.0,1.0,0.0,FW,True,False,Fenerbahçe,Santrafor,Yaratıcı Forvet,Yaratıcı Forvet,
Nélson Semedo,fenerbahce,"DF,MF",0.2,0.2,0.2,DF,False,True,Fenerbahçe,Sağ Bek,Standart Bek (Hücum),Standart Bek,Hücum
Archie Brown,fenerbahce,DF,0.0,0.0,0.2,DF,False,True,Fenerbahçe,Sol Bek,Ofansif Bek (Hücum),Ofansif Bek,Hücum
İsmail Yüksek,fenerbahce,MF,0.2,0.2,0.4,MF,True,True,Fenerbahçe,Ön Libero,Savaşçı Orta Saha (Savunma),Savaşçı Orta Saha,Savunma
Ederson,fenerbahce,GK,0.0,0.0,0.0,GK,False,False,Fenerbahçe,Kaleci,Libero Kaleci (Destek),Libero Kaleci,Destek
Kerem Aktürkoğlu,fenerbahce,"FW,MF",,0.9,0.2,FW,True,False,Fenerbahçe,Sol Kanat,İçe Kat Eden Oyuncu (Hücum),İçe Kat Eden Oyuncu,Hücum
Marco Asensio,fenerbahce,"MF,FW",0.1,0.1,0.2,MF,True,True,Fenerbahçe,On Numara,Serbest Oyuncu (Trequartista),Serbest Oyuncu,Trequartista
Talisca,fenerbahce,MF,0.3,0.3,0.9,MF,True,True,Fenerbahçe,On Numara,Serbest Oyuncu (Trequartista),Serbest Oyuncu,Trequartista
Nene Dorgeles,fenerbahce,"FW,DF",0.1,0.1,0.5,FW,True,False,Fenerbahçe,,,,
